"FacilityName","FacilityAddress","Borough","Postcode","Latitude","Longitude","Community Board","Community Council ","Census Tract","BIN","BBL","NTA"
"Engine 4/Ladder 15","42 South Street","Manhattan","10005","40.703694","-74.007717","101","1","7","1,000,867","1,000,350,001","Battery Park City-Lower Manhattan"
"Engine 6","49 Beekman Street","Manhattan","10038","40.709971","-74.005395","101","1","1,501","1,001,287","1,000,930,030","Battery Park City-Lower Manhattan"
"Manhattan Borough Command/Battalion 1/Engine 7/Ladder 1","100 Duane Street","Manhattan","10007","40.715339","-74.0063","101","1","33","1,001,647","1,001,500,025","SoHo-TriBeCa-Civic Center-Little Italy"
"Ladder 8","14 N. Moore Street","Manhattan","10013","40.719574","-74.00662","101","1","33","1,002,150","1,001,890,035","SoHo-TriBeCa-Civic Center-Little Italy"
"Engine 9/Ladder 6","75 Canal Street","Manhattan","10002","40.715408","-73.992834","103","1","16","1,003,898","1,003,000,030","Chinatown"
"Battalion 4/Engine 15/Ladder 18","25 Pitt Street","Manhattan","10002","40.716439","-73.983927","103","1","12","1,004,078","1,003,420,060","Lower East Side"
"Engine 28/Ladder 11","222 East 2 Street","Manhattan","10009","40.721879","-73.982526","103","2","2,202","1,004,608","1,003,850,058","Lower East Side"
"Engine 5","340 East 14 Street","Manhattan","10003","40.731494","-73.983407","103","2","40","1,006,520","1,004,550,028","East Village"
"Division 1/Ladder 20","253 Lafayette Street","Manhattan","10012","40.723026","-73.996571","102","1","43","1,007,523","1,004,950,007","SoHo-TriBeCa-Civic Center-Little Italy"
"Engine 33/Ladder 9","42 Great Jones Street","Manhattan","10012","40.726986","-73.992526","102","1","5,502","1,008,526","1,005,310,049","West Village"
"Battalion 6/Ladder 3","108 East 13 Street","Manhattan","10003","40.733093","-73.989443","103","2","42","1,009,010","1,005,580,011","East Village"
"Squad 18","132 West 10 Street","Manhattan","10014","40.734518","-74.000381","102","3","71","1,010,686","1,006,100,051","West Village"
"Engine 34/Ladder 21","440 West 38th Street","Manhattan","10018","40.756593","-73.996471","104","3","111","1,012,982","1,007,350,061","Hudson Yards-Chelsea-Flatiron-Union Square"
"Engine 26","220 West 37 Street","Manhattan","10018","40.753107","-73.990376","105","3","109","1,014,447","1,007,860,061","Midtown-Midtown South"
"Battalion 7/Engine 3/Ladder 12","150 West 19 Street","Manhattan","10011","40.741196","-73.996868","104","3","87","1,014,724","1,007,940,066","Hudson Yards-Chelsea-Flatiron-Union Square"
"Engine 1/Ladder 24","142 West 31 Street","Manhattan","10001","40.748474","-73.991188","105","3","101","1,015,173","1,008,060,066","Midtown-Midtown South"
"Engine 14","14 East 18 Street","Manhattan","10003","40.737948","-73.991035","105","2","52","1,016,141","1,008,460,066","Hudson Yards-Chelsea-Flatiron-Union Square"
"Engine 16/Ladder 7","234 East 29 Street","Manhattan","10016","40.741676","-73.97888","106","2","66","1,019,903","1,009,090,035","Murray Hill-Kips Bay"
"Engine 21","238 East 40 Street","Manhattan","10016","40.748642","-73.974027","106","4","88","1,020,385","1,009,200,042","Turtle Bay-East Midtown"
"Battalion 9/Engine 54/Ladder 4","782 Eighth Avenue","Manhattan","10036","40.76072","-73.986793","105","3","125","1,024,767","1,010,190,061","Midtown-Midtown South"
"Engine 23","215 W 58th Street","Manhattan","10019","40.766699","-73.980368","105","4","137","1,024,915","1,010,300,023","Midtown-Midtown South"
"Engine 40/Ladder 35","131 Amsterdam Avenue","Manhattan","10023","40.774562","-73.984225","107","6","149","1,028,836","1,011,370,061","Lincoln Square"
"Division 3/Ladder 25","207 West 77th Street","Manhattan","10024","40.78223","-73.979841","107","6","163","1,030,885","1,011,690,026","Upper West Side"
"Engine 74","120 West 83 Street","Manhattan","10024","40.784697","-73.974602","107","6","169","1,032,079","1,012,130,041","Upper West Side"
"Battalion 8/Engine 8/Ladder 2","165 East 51 Street","Manhattan","10022","40.756891","-73.970805","106","4","100","1,036,462","1,013,060,033","Turtle Bay-East Midtown"
"Engine 44","221 East 75 Street","Manhattan","10021","40.771454","-73.958154","108","4","134","1,044,059","1,014,300,010","Lenox Hill-Roosevelt Island"
"Battalion 10/Engine 22/Ladder 13","159 East 85 Street","Manhattan","10028","40.778622","-73.955311","108","5","14,801","1,047,937","1,015,140,027","Upper East Side-Carnegie Hill"
"Engine 58/Ladder 26","1367 Fifth Avenue","Manhattan","10029","40.798913","-73.947333","111","9","184","1,051,632","1,016,180,014","East Harlem North"
